date,delta,ofz_below_1y,k_rate,usd_below_1y,Ставка по вкладам в рублях до 1 года,urals_price,buyer_prices_index,m0,m2,usd_to_rur,avg_payment,rLoan,rMortgage,rMortgage_npl,uLoan
2013-08-01,86971.0,5.99681818181818,8.25,2.5,5.3,110.96,122.55856999999999,7796500.0,28499.9,33.02,29226,8768448,2221524,27325,120311
2013-09-01,5070.0,6.078571428571429,5.5,2.4,5.4,111.62,122.81594,7726800.0,28352.6,32.63,29346,8994086,2276773,27374,120516
2013-10-01,95648.0,6.05782608695652,5.5,2.2,5.1,109.48,123.51598999999999,7755600.0,28276.4,32.06,30069,9132810,2283576,26319,115769
2013-11-01,142125.0,6.154,5.5,2.1,5.0,108.08,124.20768000000001,7884600.0,28873.3,32.64,30290,9347718,2367199,26178,114258
2013-12-01,764180.0,6.242857142857139,5.5,2.3,5.1,110.63,124.84114,8598200.0,31155.6,32.89,39648,9493013,2443924,25639,116090
2014-01-01,-567448.0,6.1836842105263194,5.5,2.01,5.3,107.57,125.5777,7959300.0,29861.2,33.46,29535,9698947,2536869,25443,111990
2014-02-01,77197.0,6.3565,5.5,1.84,5.09,108.81,126.45675,7994300.0,30169.0,35.22,29255,9708231,2563580,25567,118933
2014-03-01,-303341.0,7.3975,7.0,1.66,5.07,107.41,127.7466,7917500.0,29519.3,36.21,31486,9821417,2628020,25856,118068
2014-04-01,300439.0,7.447272727272719,7.5,1.87,5.18,107.88,128.89632,8168400.0,29879.0,35.66,32947,9964299,2697532,25767,112287
2014-05-01,8596.0,7.932,7.5,1.78,5.19,109.68,130.05639,8040700.0,29890.8,34.93,32272,10149217,2794925,26075,110370
2014-06-01,183236.0,7.90684210526316,7.5,1.83,5.33,111.87,130.86274,8069400.0,30073.1,34.41,33726,10268228,2870705,26357,105360
2014-07-01,96407.0,8.29478260869565,8.0,1.58,5.54,106.98,131.50396999999998,8149400.0,30178.3,34.64,32515,10400058,2936427,26368,100304
2014-08-01,133248.0,8.59666666666667,8.0,1.77,5.63,101.92,131.81958,8276500.0,30338.7,36.11,30763,10570900,3028347,26859,104366
2014-09-01,-52627.0,8.67681818181818,8.0,1.63,5.71,97.34,132.6764,8242500.0,30297.6,37.87,31929,10705797,3096218,27005,104572
2014-10-01,-47208.0,8.96217391304348,8.0,1.95,5.95,87.27,133.76435,8298500.0,29831.2,40.76,32439,10829160,3169450,26961,108641
2014-11-01,-45024.0,9.85894736842105,9.5,2.26,6.23,78.44,135.47653,8227200.0,30141.9,45.86,32546,10925913,3239516,27205,117139
2014-12-01,-77472.0,13.4804545454545,17.0,5.22,12.29,62.16,139.02602,9139800.0,31615.7,55.41,42136,11014419,3320792,27691,128645
2015-01-01,-187272.0,15.0984210526316,17.0,5.22,12.33,48.42,144.37852,8047500.0,31033.8,61.7,30929,11005284,3391888,28954,136491
2015-02-01,369176.0,13.1131578947368,15.0,5.2,11.22,57.93,147.58372,8003000.0,31225.0,64.63,31325,10869545,3394376,29638,164955
2015-03-01,186618.0,12.7952380952381,14.0,5.18,11.16,55.79,149.36948999999998,7815500.0,31028.8,60.23,32642,10747334,3421314,30176,143777
2015-04-01,434065.0,11.627272727272699,14.0,3.96,8.97,59.39,150.05659,7991900.0,31718.6,52.87,34377,10621468,3424346,31342,135328
2015-05-01,68827.0,10.4272222222222,12.5,3.54,8.86,64.56,150.58178999999998,7830200.0,31842.1,50.58,34380,10547902,3448873,32418,114541
2015-06-01,231858.0,10.5604761904762,11.5,2.7,9.39,62.35,150.86789,7933000.0,31958.0,54.5,35395,10498930,3474034,33286,112941
2015-07-01,185049.0,10.1991304347826,11.5,2.2,8.74,55.87,152.07483,8013700.0,32094.2,57.07,33901,10442600,3493319,34104,115725
2015-08-01,7104.0,10.564761904761902,11.0,1.98,8.44,46.99,152.6071,8060500.0,32383.6,65.15,32176,10435088,3527048,34867,119395
2015-09-01,75169.0,10.977727272727302,11.0,1.9,8.45,47.23,153.47696000000002,7931200.0,32074.4,66.77,32911,10449261,3569433,36185,132488
2015-10-01,120663.0,10.3909090909091,11.0,1.7,6.92,48.12,154.61269,7947900.0,32170.2,63.07,33357,10446534,3615354,36918,129180
2015-11-01,165837.0,10.3,11.0,1.65,7.45,44.42,155.77228,7942500.0,32754.2,65.03,33347,10416228,3666185,37647,122154
2015-12-01,1034556.0,10.52,11.0,1.68,8.43,37.72,156.97173,8745900.0,35179.7,69.66,43408,10380135,3716496,38995,122204
2016-01-01,-454791.0,10.3088888888889,11.0,1.58,8.2,30.8,158.47866000000002,8197700.0,33966.5,76.25,32660,10366829,3851153,39524,131084
2016-02-01,269297.0,9.93047619047619,11.0,1.62,7.68,33.2,159.47707,8282800.0,34309.6,77.22,33873,10309191,3868230,41159,269673
2016-03-01,147971.0,9.50590909090909,11.0,1.59,7.46,39.07,160.21067,8224700.0,34689.4,70.47,35501,10312095,3941371,42208,257343
2016-04-01,379759.0,9.701904761904759,11.0,1.3,7.67,42.25,160.91558999999998,8482400.0,35105.5,66.68,36497,10297408,3984292,43202,225326
2016-05-01,131129.0,9.53894736842105,11.0,1.19,7.04,47.13,161.57535,8371900.0,35642.9,65.66,37270,10312330,4025465,43976,206646
2016-06-01,260591.0,9.75285714285714,10.5,0.97,6.92,48.48,162.15702,8471900.0,35856.9,65.31,38447,10332049,4058186,45280,208466
2016-07-01,98589.0,9.60666666666667,10.5,0.87,6.78,45.07,163.03267,8555200.0,36031.7,64.33,35888,10343383,4092126,45764,200448
2016-08-01,92168.0,9.274347826086961,10.5,0.89,6.77,46.14,163.04897,8517600.0,36169.6,64.92,35405,10381038,4133720,46362,207296
2016-09-01,20272.0,9.015,10.0,0.82,6.0,46.19,163.32615,8557800.0,36148.8,64.6,35843,10466379,4185628,47204,194868
2016-10-01,72037.0,9.00238095238095,10.0,0.71,6.01,49.73,164.02846,8459500.0,36051.0,62.68,35749,10508638,4234805,47272,184394
2016-11-01,172323.0,8.93619047619048,10.0,0.72,6.62,46.44,164.75018,8425200.0,36433.0,64.36,36195,10538916,4285774,47715,178774
2016-12-01,889085.0,8.65954545454545,10.0,0.76,6.5,54.07,165.40918,9076100.0,38418.0,62.18,47554,10585871,4345935,48336,173124
2017-01-01,-154550.0,8.41619047619048,10.0,0.79,6.5,54.89,166.43472,8628900.0,38016.8,59.96,34422,10619209,4422239,48059,154524
2017-02-01,259531.0,8.83052631578947,10.0,0.77,6.3,55.49,166.80087,8711600.0,38475.2,58.39,35497,10587915,4410903,48927,146554
2017-03-01,67600.0,8.98772727272727,9.75,0.8,5.91,51.97,167.01772,8697700.0,38555.2,58.1,37899,10602105,4434873,49516,137924
2017-04-01,162438.0,8.65526315789474,9.75,0.52,6.25,53.06,167.56887,8936600.0,38663.8,56.43,39225,10708339,4487673,50577,129151
2017-05-01,98717.0,8.3195,9.25,0.76,6.1,50.87,168.18888,8907000.0,39222.9,57.17,39679,10820605,4551779,51362,127953
2017-06-01,376709.296999998,8.03904761904762,9.0,0.71,5.7,46.89,169.21483,9066500.0,39623.1,57.82,41454,10903024,4554650,52462,124925
2017-07-01,-29642.9290000014,8.07428571428571,9.0,0.66,6.07,48.5,169.33328,9174300.0,39275.9,59.67,38073,11018737,4616329,52260,132331
2017-08-01,27503.926000002797,7.88217391304348,9.0,0.73,6.07,52.0,168.41888,9194600.0,39419.3,59.65,37099,11164672,4678205,53512,130494
2017-09-01,57844.7039999999,7.648095238095241,8.5,0.66,5.31,57.0,168.16625,9225200.0,39571.0,57.73,38047,11353881,4758039,53879,123669
2017-10-01,65361.35199999809,7.50363636363636,8.25,0.61,5.67,57.5,168.50259,9246600.0,39565.9822367929,57.71,38333,11512076,4848716,54550,117100
2017-11-01,221113.78000000102,7.381428571428571,8.25,0.64,5.18,63.1,168.852459482,9281211.77104726,40101.5825437338,58.92,38848,11662725,4901760,55644,111410
2017-12-01,1013335.87,6.978095238095241,7.75,0.73,5.27,64.9,169.560950418,9974472.08555083,42372.1012170846,58.59,50500,11855189,5016067,56309,109372
